"Voltage_x"	"Voltage_y"
30.333	379.9	
30.417	379.9	
30.5	379.9	
30.583	379.8	
30.667	379.8	
30.75	379.8	
30.833	379.8	
30.917	379.8	
31	379.8	
31.083	379.8	
31.167	379.8	
31.25	379.8	
31.333	379.8	
31.417	379.8	
31.5	379.7	
31.583	379.8	
31.667	379.8	
31.75	379.8	
31.833	379.8	
31.917	379.7	
32	379.7	
32.083	379.7	
32.167	379.7	
32.25	379.7	
32.333	379.7	
32.417	379.6	
32.5	379.6	
32.583	379.6	
32.667	379.6	
32.75	379.6	
32.833	379.6	
32.917	379.6	
33	379.6	
33.083	379.6	
33.167	379.6	
33.25	379.6	
33.333	379.6	
33.417	379.6	
33.5	379.6	
33.583	379.6	
33.667	379.6	
33.75	379.6	
33.833	379.6	
33.917	379.6	
34	379.6	
34.083	379.6	
34.167	379.5	
34.25	379.6	
34.333	379.5	
34.417	379.6	
34.5	379.5	
34.583	379.5	
34.667	379.5	
34.75	379.6	
34.833	379.5	
34.917	379.6	
35	379.6	
35.083	379.6	
35.167	379.6	
35.25	379.7	
35.333	379.7	
35.417	379.7	
35.5	379.7	
35.583	379.7	
35.667	379.7	
35.75	379.7	
35.833	379.7	
35.917	379.7	
36	379.8	
36.083	379.8	
36.167	379.9	
36.25	379.9	
36.333	379.9	
36.417	379.9	
36.5	380	
36.583	380.1	
36.667	380.1	
36.75	380.2	
36.833	380.2	
36.917	380.2	
37	380.4	
37.083	380.4	
37.167	380.5	
37.25	380.5	
37.333	380.6	
37.417	380.7	
37.5	380.8	
37.583	380.9	
37.667	380.9	
37.75	381	
37.833	381.2	
37.917	381.3	
38	381.4	
38.083	381.5	
38.167	381.6	
38.25	381.7	
38.333	381.8	
38.417	381.9	
38.5	382.1	
38.583	382.2	
38.667	382.3	
38.75	382.5	
38.833	382.6	
38.917	382.8	
39	382.9	
39.083	383	
39.167	383.1	
39.25	383.3	
39.333	383.4	
39.417	383.6	
39.5	383.7	
39.583	383.9	
39.667	384.1	
39.75	384.2	
39.833	384.4	
39.917	384.5	
40	384.7	
40.083	384.8	
40.167	385	
40.25	385.1	
40.333	385.3	
40.417	385.4	
40.5	385.6	
40.583	385.8	
40.667	385.9	
40.75	386.1	
40.833	386.3	
40.917	386.4	
41	386.6	
41.083	386.8	
41.167	386.9	
41.25	387.1	
41.333	387.3	
41.417	387.5	
41.5	387.7	
41.583	387.9	
41.667	388	
41.75	388.2	
41.833	388.4	
41.917	388.6	
42	388.8	
42.083	389	
42.167	389.2	
42.25	389.5	
42.333	389.7	
42.417	389.9	
42.5	390.1	
42.583	390.3	
42.667	390.5	
42.75	390.7	
42.833	390.9	
42.917	391.1	
43	391.3	
43.083	391.5	
43.167	391.8	
43.25	392	
43.333	392.2	
43.417	392.4	
43.5	392.6	
43.583	392.8	
43.667	393	
43.75	393.2	
