"Voltage_x"	"Voltage_y"
29.75	388.2	
29.833	388.2	
29.917	388.2	
30	388.2	
30.083	388.2	
30.167	388.1	
30.25	388.1	
30.333	388.1	
30.417	388	
30.5	388	
30.583	388	
30.667	388	
30.75	388	
30.833	387.9	
30.917	387.9	
31	387.8	
31.083	387.8	
31.167	387.8	
31.25	387.7	
31.333	387.7	
31.417	387.7	
31.5	387.6	
31.583	387.6	
31.667	387.6	
31.75	387.5	
31.833	387.5	
31.917	387.4	
32	387.4	
32.083	387.3	
32.167	387.3	
32.25	387.3	
32.333	387.2	
32.417	387.2	
32.5	387.2	
32.583	387.2	
32.667	387.1	
32.75	387.1	
32.833	387	
32.917	387	
33	387	
33.083	387	
33.167	386.9	
33.25	386.9	
33.333	386.9	
33.417	386.8	
33.5	386.8	
33.583	386.8	
33.667	386.8	
33.75	386.8	
33.833	386.7	
33.917	386.7	
34	386.7	
34.083	386.6	
34.167	386.6	
34.25	386.6	
34.333	386.6	
34.417	386.5	
34.5	386.5	
34.583	386.5	
34.667	386.5	
34.75	386.5	
34.833	386.5	
34.917	386.4	
35	386.4	
35.083	386.4	
35.167	386.4	
35.25	386.4	
35.333	386.4	
35.417	386.4	
35.5	386.3	
35.583	386.3	
35.667	386.3	
35.75	386.3	
35.833	386.3	
35.917	386.3	
36	386.4	
36.083	386.3	
36.167	386.3	
36.25	386.3	
36.333	386.3	
36.417	386.3	
36.5	386.3	
36.583	386.3	
36.667	386.3	
36.75	386.3	
36.833	386.3	
36.917	386.3	
37	386.3	
37.083	386.3	
37.167	386.3	
37.25	386.4	
37.333	386.3	
37.417	386.4	
37.5	386.4	
37.583	386.4	
37.667	386.4	
37.75	386.4	
37.833	386.5	
37.917	386.5	
38	386.5	
38.083	386.6	
38.167	386.6	
38.25	386.6	
38.333	386.7	
38.417	386.7	
38.5	386.7	
38.583	386.7	
38.667	386.8	
38.75	386.8	
38.833	386.8	
38.917	386.9	
39	386.9	
39.083	386.9	
39.167	387	
39.25	387	
39.333	387.1	
39.417	387.1	
39.5	387.1	
39.583	387.2	
39.667	387.2	
39.75	387.3	
39.833	387.3	
39.917	387.3	
40	387.3	
40.083	387.4	
40.167	387.4	
40.25	387.5	
40.333	387.5	
40.417	387.5	
40.5	387.6	
40.583	387.6	
40.667	387.6	
40.75	387.6	
40.833	387.7	
40.917	387.7	
41	387.8	
41.083	387.8	
41.167	387.8	
41.25	387.9	
41.333	387.9	
41.417	387.9	
41.5	388	
41.583	388	
41.667	388.1	
41.75	388.1	
41.833	388.1	
41.917	388.1	
42	388.2	
42.083	388.2	
42.167	388.3	
42.25	388.3	
42.333	388.3	
42.417	388.3	
42.5	388.4	
42.583	388.4	
42.667	388.4	
42.75	388.4	
42.833	388.4	
42.917	388.5	
43	388.5	
43.083	388.5	
43.167	388.5	
43.25	388.5	
43.333	388.6	
43.417	388.6	
43.5	388.6	
43.583	388.6	
43.667	388.6	
43.75	388.6	
43.833	388.7	
43.917	388.7	
44	388.7	
44.083	388.7	
44.167	388.7	
44.25	388.7	
44.333	388.7	
44.417	388.7	
44.5	388.7	
44.583	388.8	
44.667	388.8	
44.75	388.8	
44.833	388.8	
44.917	388.8	
45	388.8	
45.083	388.8	
45.167	388.8	
45.25	388.9	
45.333	388.9	
45.417	388.9	
45.5	388.9	
45.583	388.9	
45.667	388.9	
45.75	388.9	
45.833	388.9	
45.917	388.9	
46	388.9	
46.083	388.9	
46.167	388.9	
46.25	388.9	
46.333	389	
46.417	389	
46.5	388.9	
46.583	389	
46.667	389	
46.75	389	
46.833	389	
46.917	389	
47	389	
47.083	389	
47.167	389	
47.25	389	
47.333	389	
47.417	389	
47.5	389	
47.583	389	
47.667	389	
47.75	389	
47.833	389.1	
47.917	389	
48	389.1	
48.083	389.1	
48.167	389.1	
48.25	389.1	
48.333	389.1	
48.417	389.1	
48.5	389.1	
48.583	389.1	
48.667	389.1	
48.75	389.1	
48.833	389.1	
48.917	389.1	
49	389.1	
49.083	389.1	
49.167	389.1	
49.25	389.1	
49.333	389.1	
49.417	389.1	
49.5	389.1	
49.583	389.2	
49.667	389.2	
49.75	389.2	
49.833	389.2	
49.917	389.2	
50	389.2	
50.083	389.2	
50.167	389.2	
50.25	389.2	
50.333	389.2	
50.417	389.3	
50.5	389.3	
50.583	389.3	
50.667	389.3	
50.75	389.3	
50.833	389.3	
50.917	389.3	
51	389.3	
51.083	389.3	
51.167	389.3	
51.25	389.3	
51.333	389.4	
51.417	389.3	
51.5	389.3	
51.583	389.4	
51.667	389.4	
51.75	389.4	
51.833	389.4	
51.917	389.4	
52	389.4	
52.083	389.4	
52.167	389.4	
52.25	389.4	
52.333	389.4	
52.417	389.4	
52.5	389.4	
52.583	389.4	
52.667	389.4	
52.75	389.4	
52.833	389.4	
52.917	389.4	
53	389.4	
53.083	389.4	
53.167	389.5	
53.25	389.5	
53.333	389.5	
53.417	389.5	
53.5	389.5	
53.583	389.5	
53.667	389.5	
53.75	389.4	
53.833	389.5	
53.917	389.5	
54	389.5	
54.083	389.5	
54.167	389.5	
54.25	389.5	
54.333	389.5	
54.417	389.5	
54.5	389.5	
54.583	389.6	
54.667	389.6	
54.75	389.6	
54.833	389.6	
54.917	389.5	
55	389.6	
55.083	389.6	
55.167	389.6	
55.25	389.6	
55.333	389.6	
55.417	389.6	
55.5	389.6	
55.583	389.6	
55.667	389.6	
55.75	389.6	
55.833	389.6	
55.917	389.6	
56	389.6	
56.083	389.7	
56.167	389.6	
56.25	389.7	
56.333	389.7	
56.417	389.7	
56.5	389.7	
56.583	389.7	
56.667	389.7	
56.75	389.7	
56.833	389.7	
56.917	389.7	
57	389.7	
57.083	389.7	
57.167	389.7	
57.25	389.7	
57.333	389.7	
57.417	389.7	
57.5	389.7	
57.583	389.7	
57.667	389.7	
57.75	389.7	
57.833	389.8	
57.917	389.8	
58	389.7	
58.083	389.7	
58.167	389.7	
58.25	389.7	
58.333	389.7	
58.417	389.8	
58.5	389.7	
58.583	389.8	
58.667	389.8	
58.75	389.8	
58.833	389.8	
58.917	389.8	
59	389.8	
59.083	389.8	
59.167	389.8	
59.25	389.8	
59.333	389.8	
59.417	389.8	
59.5	389.8	
59.583	389.8	
59.667	389.8	
59.75	389.8	
59.833	386.2	
59.917	1.3	
60	1.3	
60.083	1.3	
60.167	1.2	
60.25	1.2	
60.333	1.3	
60.417	1.2	
60.5	1.2	
60.583	1.2	
60.667	1.2	
60.75	1.2	
60.833	1.2	
60.917	1.2	
