"Voltage_x"	"Voltage_y"
0	0	
0.083333	1.1	
0.16667	1.1	
0.25	1.1	
0.33333	1.1	
0.41667	1.1	
0.5	1.1	
0.58333	1.1	
0.66667	1.1	
0.75	1.1	
0.83333	1.1	
0.91667	1.1	
1	1.1	
1.0833	1.1	
1.1667	357.8	
1.25	370.8	
1.3333	373.3	
1.4167	374.7	
1.5	375.6	
1.5833	376.1	
1.6667	376.5	
1.75	376.7	
1.8333	376.8	
1.9167	377	
2	377.1	
2.0833	377.1	
2.1667	377.2	
2.25	377.2	
2.3333	377.2	
2.4167	377.3	
2.5	377.3	
2.5833	377.3	
2.6667	377.3	
2.75	377.3	
2.8333	377.2	
2.9167	377.1	
3	377.1	
3.0833	377	
3.1667	377	
3.25	376.9	
3.3333	376.9	
3.4167	376.9	
3.5	376.9	
3.5833	376.9	
3.6667	376.9	
3.75	376.9	
3.8333	376.8	
3.9167	376.9	
4	376.7	
4.0833	376.6	
4.1667	376.6	
4.25	376.6	
4.3333	376.5	
4.4167	376.5	
4.5	376.5	
4.5833	376.5	
4.6667	376.4	
4.75	376.4	
4.8333	376.3	
4.9167	376.2	
5	376.2	
5.0833	376.3	
5.1667	376.2	
5.25	376.2	
5.3333	376.1	
5.4167	376.1	
5.5	376	
5.5833	376.1	
5.6667	376	
5.75	376	
5.8333	376	
5.9167	376	
6	376	
6.0833	375.9	
6.1667	375.9	
6.25	375.9	
6.3333	375.8	
6.4167	375.7	
6.5	375.7	
6.5833	375.7	
6.6667	375.6	
6.75	375.8	
6.8333	375.6	
6.9167	375.8	
7	375.7	
7.0833	375.7	
7.1667	375.7	
7.25	375.8	
7.3333	375.7	
7.4167	375.8	
7.5	375.6	
7.5833	375.5	
7.6667	375.5	
7.75	375.5	
7.8333	375.6	
7.9167	375.6	
8	375.5	
8.0833	375.5	
8.1667	375.4	
8.25	375.4	
8.3333	375.4	
8.4167	375.2	
8.5	375.3	
8.5833	375.2	
8.6667	375.3	
8.75	375.3	
8.8333	375.2	
8.9167	375.1	
9	375.1	
9.0833	375.1	
9.1667	375	
9.25	375.1	
9.3333	375	
9.4167	374.9	
9.5	375	
9.5833	375	
9.6667	375	
9.75	375.2	
9.8333	374.9	
9.9167	375.1	
10	374.8	
10.083	374.8	
10.167	374.7	
10.25	374.8	
10.333	375	
10.417	374.6	
10.5	374.7	
10.583	374.6	
10.667	374.6	
10.75	374.9	
10.833	374.8	
10.917	374.5	
