"Voltage_x"	"Voltage_y"
0	0	
0.083333	1	
0.16667	1	
0.25	1	
0.33333	1	
0.41667	1	
0.5	1	
0.58333	1	
0.66667	1	
0.75	1	
0.83333	1	
0.91667	1	
1	1	
1.0833	1	
1.1667	323.1	
1.25	394.2	
1.3333	394	
1.4167	395.8	
1.5	397	
1.5833	397.7	
1.6667	398.2	
1.75	398.6	
1.8333	398.8	
1.9167	399.2	
2	399.4	
2.0833	399.5	
2.1667	399.6	
2.25	399.7	
2.3333	399.7	
2.4167	399.7	
2.5	399.7	
2.5833	399.6	
2.6667	399.4	
2.75	399.3	
2.8333	399.1	
2.9167	398.9	
3	398.7	
3.0833	398.4	
3.1667	398.1	
3.25	397.8	
3.3333	397.5	
3.4167	397.1	
3.5	396.8	
3.5833	396.4	
3.6667	396	
3.75	395.5	
3.8333	395.1	
3.9167	394.7	
4	394.3	
4.0833	393.8	
4.1667	393.4	
4.25	393	
4.3333	392.6	
4.4167	392.2	
4.5	392	
4.5833	391.7	
4.6667	391.6	
4.75	391.5	
4.8333	391.4	
4.9167	391.3	
5	391.3	
5.0833	391.2	
5.1667	391.1	
5.25	391.1	
5.3333	391	
5.4167	391	
5.5	390.9	
5.5833	390.9	
5.6667	390.8	
5.75	390.8	
5.8333	390.8	
5.9167	390.9	
6	390.9	
6.0833	391	
6.1667	391.1	
6.25	391.2	
6.3333	391.4	
6.4167	391.5	
6.5	391.7	
6.5833	391.9	
6.6667	392.2	
6.75	392.4	
6.8333	392.6	
6.9167	392.8	
7	393.1	
7.0833	393.2	
7.1667	393.4	
7.25	393.6	
7.3333	393.6	
7.4167	393.4	
7.5	393.3	
7.5833	393.2	
7.6667	393.1	
7.75	392.9	
7.8333	392.7	
7.9167	392.5	
8	392.3	
8.0833	392.1	
8.1667	391.9	
8.25	391.7	
8.3333	391.4	
8.4167	391.2	
8.5	391	
8.5833	390.7	
8.6667	390.4	
8.75	390.2	
8.8333	389.8	
8.9167	389.5	
9	389.2	
9.0833	389	
9.1667	389	
9.25	388.7	
9.3333	388.4	
9.4167	388	
9.5	387.7	
9.5833	387.4	
9.6667	387	
9.75	386.7	
9.8333	386.4	
9.9167	386	
10	385.6	
10.083	385.3	
10.167	384.9	
10.25	384.5	
10.333	384.2	
10.417	383.8	
10.5	383.5	
10.583	383.1	
10.667	382.8	
10.75	382.5	
10.833	382.1	
10.917	381.8	
11	381.4	
11.083	381.1	
11.167	380.8	
11.25	380.5	
11.333	380.2	
11.417	379.9	
11.5	379.6	
11.583	379.3	
11.667	379	
11.75	378.7	
11.833	378.5	
11.917	378.2	
12	378	
12.083	377.7	
12.167	377.4	
12.25	377.2	
12.333	376.9	
12.417	376.7	
12.5	376.4	
12.583	376.2	
12.667	376	
12.75	375.9	
12.833	375.7	
12.917	375.7	
13	375.6	
13.083	375.5	
13.167	375.4	
13.25	375.4	
13.333	375.2	
13.417	375.1	
13.5	375	
13.583	374.9	
13.667	374.8	
13.75	374.6	
13.833	374.5	
13.917	374.4	
14	374.2	
14.083	374.1	
14.167	374	
14.25	373.9	
14.333	373.8	
14.417	373.6	
14.5	373.5	
14.583	373.4	
14.667	373.3	
14.75	373.2	
14.833	373.1	
14.917	373	
15	372.8	
15.083	372.7	
15.167	372.6	
15.25	372.4	
15.333	372.3	
15.417	372.2	
15.5	372.1	
15.583	371.9	
15.667	371.8	
15.75	371.6	
15.833	371.5	
15.917	371.3	
16	371.2	
16.083	371	
16.167	370.9	
16.25	370.7	
16.333	370.6	
16.417	370.4	
16.5	370.3	
16.583	370.1	
16.667	370	
16.75	369.8	
16.833	369.6	
16.917	369.5	
17	369.3	
17.083	369.1	
17.167	369	
17.25	368.8	
17.333	368.6	
17.417	368.5	
17.5	368.3	
17.583	368.1	
17.667	368	
17.75	367.8	
17.833	367.6	
17.917	367.5	
18	367.3	
18.083	366.9	
18.167	366.7	
18.25	366.6	
18.333	366.5	
18.417	366.4	
18.5	366.4	
18.583	366.3	
18.667	366.2	
18.75	366.1	
18.833	366.1	
18.917	366	
19	365.9	
19.083	365.8	
19.167	365.7	
19.25	365.6	
19.333	365.5	
19.417	365.5	
19.5	365.4	
19.583	365.3	
19.667	365.2	
19.75	365.1	
19.833	365	
19.917	364.9	
20	364.7	
20.083	364.6	
20.167	364.5	
20.25	364.4	
20.333	364.3	
20.417	364.2	
20.5	364.1	
20.583	364	
20.667	363.9	
20.75	363.8	
20.833	363.7	
20.917	363.6	
21	363.5	
21.083	363.3	
21.167	363.3	
21.25	363.2	
21.333	363	
21.417	363	
21.5	362.9	
21.583	362.8	
21.667	362.7	
21.75	362.6	
21.833	362.5	
21.917	362.4	
22	362.3	
22.083	362.3	
22.167	362.2	
22.25	362.1	
22.333	362	
22.417	362	
22.5	361.9	
22.583	361.9	
22.667	361.8	
22.75	361.8	
22.833	361.8	
22.917	361.7	
23	361.7	
23.083	361.7	
23.167	361.6	
23.25	361.6	
23.333	361.6	
23.417	361.6	
23.5	361.6	
23.583	361.6	
23.667	361.6	
23.75	361.6	
23.833	361.6	
23.917	361.7	
24	361.7	
24.083	361.7	
24.167	361.7	
24.25	361.8	
24.333	361.8	
24.417	361.9	
24.5	361.9	
24.583	362	
24.667	362.1	
24.75	362.1	
24.833	362.2	
24.917	362.3	
25	362.3	
25.083	362.4	
25.167	362.5	
25.25	362.6	
25.333	362.7	
25.417	362.8	
25.5	362.9	
25.583	363.1	
25.667	363.2	
25.75	363.3	
25.833	363.4	
25.917	363.6	
26	363.7	
26.083	363.9	
26.167	364	
26.25	364.2	
26.333	364.3	
26.417	364.5	
26.5	364.6	
26.583	364.8	
26.667	365	
26.75	365.2	
26.833	365.3	
26.917	365.5	
27	365.7	
27.083	365.9	
27.167	366.1	
27.25	366.3	
27.333	366.5	
27.417	366.7	
27.5	366.9	
27.583	367.1	
27.667	367.3	
27.75	367.5	
27.833	367.7	
27.917	367.9	
28	368.1	
28.083	368.3	
28.167	368.5	
28.25	368.8	
28.333	369	
28.417	369.2	
28.5	369.4	
28.583	369.6	
28.667	369.8	
28.75	370	
28.833	370.2	
28.917	370.4	
29	370.6	
29.083	370.9	
29.167	371.1	
29.25	371.3	
29.333	371.5	
29.417	371.7	
29.5	371.8	
29.583	372	
29.667	372.2	
29.75	372.4	
29.833	372.6	
29.917	372.7	
30	372.9	
30.083	373.1	
30.167	373.2	
30.25	373.4	
30.333	373.6	
30.417	373.7	
30.5	373.9	
30.583	374	
30.667	374.1	
30.75	374.3	
30.833	374.4	
30.917	374.5	
31	374.6	
31.083	374.7	
31.167	374.8	
31.25	375	
31.333	375.1	
31.417	375.2	
31.5	375.2	
31.583	375.4	
31.667	375.4	
31.75	375.6	
31.833	375.6	
31.917	375.7	
32	375.8	
32.083	375.9	
32.167	376	
32.25	376.1	
32.333	376.2	
32.417	376.2	
32.5	376.3	
32.583	376.4	
32.667	376.5	
32.75	376.6	
32.833	376.6	
32.917	376.7	
33	376.8	
33.083	376.8	
33.167	376.9	
33.25	377	
33.333	377.1	
33.417	377.1	
33.5	377.2	
33.583	377.3	
33.667	377.3	
