"Voltage_x"	"Voltage_y"
30.167	415.5	
30.25	415.3	
30.333	415	
30.417	414.7	
30.5	414.4	
30.583	414	
30.667	413.6	
30.75	413.2	
30.833	412.8	
30.917	412.4	
31	412	
31.083	411.6	
31.167	411.2	
31.25	410.8	
31.333	410.4	
31.417	410.1	
31.5	409.8	
31.583	409.5	
31.667	409.2	
31.75	409	
31.833	408.7	
31.917	408.5	
32	408.3	
32.083	408.1	
32.167	407.8	
32.25	407.6	
32.333	407.4	
32.417	407.4	
32.5	407.3	
32.583	407.2	
32.667	407.1	
32.75	406.9	
32.833	406.8	
32.917	406.6	
33	406.5	
33.083	406.3	
33.167	406.1	
33.25	406	
33.333	405.9	
33.417	405.7	
33.5	405.6	
33.583	405.5	
33.667	405.4	
33.75	405.3	
33.833	405.2	
33.917	405	
34	404.9	
34.083	404.8	
34.167	404.8	
34.25	404.7	
34.333	404.6	
34.417	404.6	
34.5	404.5	
34.583	404.4	
34.667	404.3	
34.75	404.3	
34.833	404.2	
34.917	404.1	
35	404	
35.083	403.9	
35.167	403.9	
35.25	403.8	
35.333	403.7	
35.417	403.6	
35.5	403.6	
35.583	403.5	
35.667	403.4	
35.75	403.3	
35.833	403.2	
35.917	403.1	
36	403.1	
36.083	403	
36.167	402.9	
36.25	402.8	
36.333	402.7	
36.417	402.7	
36.5	402.6	
36.583	402.5	
36.667	402.4	
36.75	402.3	
36.833	402.2	
36.917	402.1	
37	402.1	
37.083	402	
37.167	401.8	
37.25	401.8	
37.333	401.7	
37.417	401.6	
37.5	401.4	
37.583	401.4	
37.667	401.2	
37.75	401.2	
37.833	401.1	
37.917	401	
38	400.9	
38.083	400.8	
38.167	400.7	
38.25	400.6	
38.333	400.5	
38.417	400.5	
38.5	400.4	
38.583	400.3	
38.667	400.2	
38.75	400.1	
38.833	400	
38.917	400	
39	399.9	
39.083	399.8	
39.167	399.7	
39.25	399.7	
39.333	399.6	
39.417	399.5	
39.5	399.4	
39.583	399.3	
39.667	399.2	
39.75	399.2	
39.833	399	
39.917	399	
40	398.9	
40.083	398.8	
40.167	398.7	
40.25	398.6	
