"Voltage_x"	"Voltage_y"
0	0	
0.083333	0.9	
0.16667	0.9	
0.25	0.9	
0.33333	0.9	
0.41667	0.9	
0.5	0.9	
0.58333	0.9	
0.66667	1	
0.75	1	
0.83333	1	
0.91667	1	
1	387.4	
1.0833	395.5	
1.1667	398.5	
1.25	400	
1.3333	400.7	
1.4167	401.2	
1.5	401.5	
1.5833	401.6	
1.6667	401.7	
1.75	401.7	
1.8333	401.5	
1.9167	401.4	
2	401.3	
2.0833	401.3	
2.1667	401.2	
2.25	401.4	
2.3333	401	
2.4167	400.3	
2.5	400.2	
2.5833	400.4	
2.6667	400.6	
2.75	400	
2.8333	399.5	
2.9167	399.7	
3	400.2	
3.0833	400	
3.1667	399.8	
3.25	400.1	
3.3333	400	
3.4167	400	
3.5	399.9	
3.5833	399.8	
3.6667	399.8	
3.75	399.8	
3.8333	399.7	
3.9167	399.6	
4	399.4	
4.0833	399.4	
4.1667	399.3	
4.25	399.2	
4.3333	399	
4.4167	399	
4.5	398.9	
4.5833	398.7	
4.6667	398.7	
4.75	398.6	
4.8333	398.5	
4.9167	398.4	
5	398.4	
5.0833	398.2	
5.1667	398	
5.25	398	
5.3333	397.8	
5.4167	397.7	
5.5	397.6	
5.5833	397.5	
5.6667	397.4	
5.75	397.4	
5.8333	397.2	
5.9167	397.2	
6	396.9	
6.0833	396.9	
6.1667	396.7	
6.25	396.6	
6.3333	396.5	
6.4167	396.5	
6.5	396.3	
6.5833	396.2	
6.6667	396.1	
6.75	396	
6.8333	396	
6.9167	395.9	
7	395.9	
7.0833	395.7	
7.1667	395.6	
7.25	395.6	
7.3333	395.4	
7.4167	395.3	
7.5	395.3	
7.5833	395.2	
7.6667	395.1	
7.75	395.1	
7.8333	394.8	
7.9167	394.9	
8	394.8	
8.0833	394.6	
8.1667	394.6	
8.25	394.5	
8.3333	394.5	
8.4167	394.3	
8.5	394.3	
8.5833	394.3	
8.6667	394.1	
8.75	394.1	
8.8333	394	
8.9167	393.9	
9	393.8	
9.0833	393.7	
9.1667	393.6	
9.25	393.7	
9.3333	393.6	
9.4167	393.5	
9.5	393.4	
9.5833	393.2	
9.6667	393.3	
9.75	393.1	
9.8333	393.1	
9.9167	393.1	
10	393	
10.083	392.9	
10.167	392.8	
10.25	392.9	
10.333	392.6	
10.417	392.7	
10.5	392.7	
10.583	392.7	
10.667	392.5	
10.75	392.5	
10.833	392.3	
10.917	392.4	
11	392.4	
11.083	392.3	
11.167	392.2	
11.25	392.2	
11.333	392	
11.417	392	
11.5	392.2	
11.583	391.9	
11.667	391.9	
11.75	391.9	
11.833	391.7	
11.917	391.9	
12	391.9	
12.083	391.6	
12.167	391.6	
12.25	391.6	
12.333	391.6	
12.417	391.4	
12.5	391.5	
12.583	391.4	
12.667	391.4	
12.75	391.2	
12.833	391.2	
12.917	391.2	
13	391.2	
13.083	391.1	
13.167	391.1	
13.25	390.9	
13.333	391	
13.417	390.8	
13.5	391.1	
13.583	391	
13.667	390.9	
13.75	390.8	
13.833	390.7	
13.917	390.6	
14	390.8	
14.083	390.7	
14.167	390.7	
14.25	390.6	
14.333	390.5	
14.417	390.7	
14.5	390.6	
14.583	390.6	
14.667	390.7	
14.75	390.7	
14.833	390.4	
14.917	390.4	
15	390.5	
15.083	390.3	
15.167	390.4	
15.25	390.3	
15.333	390.5	
15.417	390.4	
15.5	390.4	
15.583	390.5	
15.667	390.5	
15.75	390.3	
15.833	390.3	
15.917	390.3	
16	390	
16.083	390.3	
16.167	390.1	
16.25	390.3	
16.333	390.2	
16.417	390	
16.5	390.1	
16.583	390.2	
16.667	390.2	
16.75	390.2	
16.833	390	
16.917	390.2	
17	389.9	
17.083	389.9	
17.167	390	
17.25	390	
17.333	389.8	
17.417	389.8	
17.5	389.8	
17.583	389.9	
17.667	390	
17.75	389.9	
17.833	389.9	
17.917	389.8	
18	389.7	
18.083	389.9	
18.167	389.8	
18.25	389.9	
18.333	390	
18.417	389.9	
18.5	389.7	
18.583	389.7	
18.667	389.8	
18.75	389.8	
18.833	389.7	
18.917	389.6	
19	389.8	
19.083	389.7	
19.167	389.7	
19.25	389.8	
19.333	389.7	
19.417	389.6	
19.5	389.9	
19.583	389.9	
19.667	389.7	
19.75	389.8	
19.833	389.6	
19.917	389.8	
20	389.8	
20.083	389.7	
20.167	389.7	
20.25	389.6	
20.333	389.7	
20.417	389.7	
20.5	389.7	
20.583	389.7	
20.667	389.7	
20.75	389.7	
20.833	389.6	
20.917	389.7	
21	389.6	
21.083	389.7	
21.167	389.8	
21.25	389.8	
21.333	389.7	
21.417	389.9	
21.5	389.8	
21.583	389.8	
21.667	389.7	
21.75	389.7	
21.833	389.9	
21.917	389.8	
22	389.7	
22.083	389.7	
22.167	389.9	
22.25	389.8	
22.333	389.8	
22.417	389.9	
22.5	390.1	
22.583	389.9	
22.667	389.8	
22.75	389.9	
22.833	390	
22.917	389.8	
23	390.2	
23.083	389.9	
23.167	389.9	
23.25	390.1	
23.333	390	
23.417	389.8	
23.5	390.1	
23.583	390.2	
23.667	390	
23.75	390.1	
23.833	389.9	
23.917	390.1	
24	390.1	
24.083	390.1	
24.167	390.1	
24.25	390.3	
24.333	390.1	
24.417	390.1	
24.5	390.1	
24.583	390.2	
24.667	389.9	
24.75	390.2	
24.833	390.2	
24.917	390.2	
25	390.3	
25.083	390.3	
25.167	390.2	
25.25	390.2	
25.333	390.2	
25.417	390.4	
25.5	390.2	
25.583	390.3	
25.667	390.7	
25.75	390.5	
25.833	390.4	
25.917	390.3	
26	390.6	
26.083	390.8	
26.167	390.4	
26.25	390.7	
26.333	390.6	
26.417	390.7	
26.5	390.5	
26.583	390.7	
26.667	390.9	
26.75	390.7	
26.833	390.6	
26.917	390.9	
27	390.8	
27.083	390.9	
27.167	390.8	
27.25	390.7	
27.333	390.9	
27.417	390.9	
27.5	390.8	
27.583	391	
27.667	390.8	
27.75	391	
27.833	391.1	
27.917	390.9	
28	391	
28.083	391	
28.167	391.1	
28.25	390.8	
28.333	390.7	
28.417	390.9	
28.5	391.1	
28.583	390.9	
28.667	390.8	
28.75	390.8	
28.833	391	
28.917	391.1	
29	390.9	
29.083	390.9	
29.167	390.9	
29.25	390.9	
29.333	390.9	
29.417	390.8	
29.5	391	
29.583	390.9	
29.667	390.8	
29.75	391	
29.833	391	
29.917	391	
30	391	
30.083	391	
30.167	391	
30.25	391.2	
30.333	391.1	
30.417	391.1	
30.5	391	
30.583	391.1	
30.667	391.2	
30.75	391.2	
30.833	391.2	
30.917	391.2	
31	391.1	
31.083	391.4	
31.167	391.2	
31.25	391.4	
31.333	391.3	
31.417	391.4	
31.5	391.3	
31.583	391.4	
31.667	391.3	
31.75	391.5	
31.833	391.3	
31.917	391.6	
32	391.5	
32.083	391.6	
32.167	391.5	
32.25	391.6	
32.333	391.7	
32.417	391.7	
32.5	391.9	
32.583	391.6	
32.667	391.7	
32.75	391.9	
32.833	391.9	
32.917	391.9	
33	391.9	
33.083	391.9	
33.167	392	
33.25	392	
33.333	392.1	
33.417	392	
33.5	392	
33.583	392.2	
33.667	392.1	
33.75	392.2	
33.833	392	
33.917	392.3	
34	392.2	
34.083	392.5	
34.167	392.5	
34.25	392.5	
34.333	392.2	
34.417	392.4	
34.5	392.4	
34.583	392.6	
34.667	392.4	
34.75	392.4	
34.833	392.6	
34.917	392.6	
35	392.6	
35.083	392.5	
35.167	392.4	
35.25	392.8	
35.333	392.5	
35.417	392.6	
35.5	392.8	
35.583	392.6	
35.667	392.6	
35.75	392.9	
35.833	392.7	
35.917	392.9	
36	393	
36.083	392.7	
36.167	392.8	
36.25	393	
36.333	393	
36.417	392.9	
36.5	393.1	
36.583	393	
36.667	392.9	
36.75	392.9	
36.833	393	
36.917	393.2	
37	393	
37.083	393.1	
37.167	393.2	
37.25	393.2	
37.333	392.9	
37.417	393.1	
37.5	393.3	
37.583	393.3	
37.667	393.1	
37.75	393.2	
37.833	393.4	
37.917	393.3	
38	393.3	
38.083	393.3	
38.167	393.4	
38.25	393.3	
38.333	393.2	
38.417	393.4	
38.5	393.3	
38.583	393.4	
38.667	393.5	
38.75	392.9	
38.833	393.3	
38.917	393.4	
39	393.3	
39.083	393.3	
39.167	393.5	
39.25	393.5	
39.333	393.6	
39.417	393.4	
39.5	393.6	
39.583	393.2	
39.667	393.4	
39.75	393.5	
39.833	393.5	
39.917	393.6	
40	393.6	
40.083	393.6	
40.167	393.5	
40.25	393.7	
40.333	393.5	
40.417	393.6	
40.5	393.5	
40.583	393.6	
40.667	393.5	
40.75	393.7	
40.833	393.7	
40.917	393.6	
41	393.8	
41.083	393.7	
41.167	393.6	
41.25	393.5	
41.333	393.7	
41.417	393.7	
41.5	393.8	
41.583	393.7	
41.667	393.5	
41.75	393.9	
41.833	393.8	
41.917	393.7	
42	393.6	
42.083	393.9	
42.167	394	
42.25	393.3	
42.333	394	
42.417	393.8	
42.5	393.9	
42.583	393.9	
42.667	393.9	
42.75	393.8	
42.833	394	
42.917	394	
43	394.1	
43.083	394.2	
43.167	393.9	
43.25	394	
43.333	394	
43.417	394.2	
43.5	394.1	
43.583	394.2	
43.667	394	
43.75	394.4	
43.833	394.1	
43.917	393.7	
44	393.8	
44.083	394.2	
44.167	394.1	
44.25	394.1	
44.333	394.3	
44.417	394.1	
44.5	394.1	
44.583	394	
44.667	394.3	
44.75	394	
44.833	394.3	
44.917	394.3	
45	394.3	
45.083	394.2	
45.167	394.2	
45.25	394.4	
45.333	394.2	
45.417	394	
45.5	394.3	
45.583	394.4	
45.667	394.2	
45.75	394.3	
45.833	394.3	
45.917	394.3	
46	394.2	
46.083	394.2	
46.167	394.3	
46.25	394.2	
46.333	394.2	
46.417	394.1	
46.5	394.2	
46.583	394.1	
46.667	394.4	
46.75	394.1	
46.833	394.3	
46.917	394.4	
47	394.4	
47.083	394.6	
47.167	394.4	
47.25	394.6	
47.333	394.5	
47.417	394.3	
47.5	394.4	
47.583	394.2	
47.667	394.5	
47.75	394.3	
47.833	393.9	
47.917	394.5	
48	394.4	
48.083	394.6	
48.167	394.6	
48.25	394.5	
48.333	394.5	
48.417	394.5	
48.5	394.5	
48.583	394.4	
48.667	394.5	
48.75	394.6	
48.833	394.6	
48.917	394.6	
49	394.5	
49.083	394.7	
49.167	394.9	
49.25	394.7	
49.333	394.8	
49.417	394.6	
49.5	394.4	
49.583	394.8	
49.667	394.8	
49.75	394.4	
49.833	394.8	
49.917	394.8	
50	394.9	
50.083	394.8	
50.167	394.7	
50.25	394.6	
50.333	394.8	
50.417	394.9	
50.5	394.8	
50.583	394.5	
50.667	394.9	
50.75	394.9	
50.833	394.6	
50.917	394.8	
51	394.8	
51.083	394.5	
51.167	395	
51.25	394.7	
51.333	394.5	
51.417	394.7	
51.5	395	
51.583	394.6	
51.667	394.8	
51.75	394.7	
51.833	394.7	
51.917	395	
52	394.9	
52.083	394.6	
52.167	394.8	
52.25	395	
52.333	394.7	
52.417	394.7	
52.5	394.8	
52.583	394.7	
52.667	394.8	
52.75	394.6	
52.833	394.8	
52.917	394.8	
53	394.7	
53.083	394.6	
53.167	394.7	
53.25	395	
53.333	394.8	
53.417	395	
53.5	395.1	
53.583	395	
53.667	394.9	
53.75	395.1	
53.833	395.1	
53.917	394.9	
54	394.8	
54.083	395.1	
54.167	395.2	
54.25	395	
54.333	394.8	
54.417	395.2	
54.5	394.8	
54.583	394.9	
54.667	395.1	
54.75	395	
54.833	395	
54.917	394.6	
55	395	
55.083	394.6	
55.167	395	
55.25	395	
55.333	395.2	
55.417	395.1	
55.5	394.9	
55.583	395.1	
55.667	394.9	
55.75	395.1	
55.833	394.9	
55.917	394.8	
56	395	
56.083	395.1	
56.167	395	
56.25	395.2	
56.333	395.1	
56.417	394.9	
56.5	394.9	
56.583	394.5	
56.667	394.9	
56.75	395.1	
56.833	395.2	
56.917	395.1	
57	394.9	
57.083	394.9	
57.167	395	
57.25	395	
57.333	395	
57.417	395	
57.5	395.1	
57.583	395.3	
57.667	395	
57.75	395.1	
57.833	394.9	
57.917	394.8	
58	394.8	
58.083	395.1	
58.167	395.2	
58.25	394.9	
58.333	395	
58.417	395.1	
58.5	395	
58.583	394.9	
58.667	395.1	
58.75	395.1	
58.833	395.3	
58.917	395.1	
59	395.3	
59.083	395	
59.167	395.3	
59.25	394.8	
59.333	395.1	
59.417	395.1	
59.5	395.1	
59.583	394.9	
59.667	394.8	
59.75	395.1	
59.833	395	
59.917	394.8	
60	395.2	
60.083	395.1	
60.167	395.3	
60.25	375.4	
60.333	1.3	
60.417	1.3	
60.5	1.3	
60.583	1.2	
