"Voltage_x"	"Voltage_y"
30.167	374	
30.25	374.1	
30.333	374.2	
30.417	374.2	
30.5	374.3	
30.583	374.4	
30.667	374.5	
30.75	374.7	
30.833	374.8	
30.917	375	
31	375.1	
31.083	375.2	
31.167	375.3	
31.25	375.4	
31.333	375.5	
31.417	375.6	
31.5	375.5	
31.583	375.6	
31.667	375.6	
31.75	375.7	
31.833	375.7	
31.917	375.8	
32	375.8	
32.083	375.9	
32.167	375.9	
32.25	376	
32.333	376.1	
32.417	376	
32.5	376	
32.583	376	
32.667	376	
32.75	376	
32.833	376	
32.917	376	
33	376	
33.083	376.1	
33.167	376	
33.25	376	
33.333	376	
33.417	376	
33.5	376	
33.583	376	
33.667	376	
33.75	376	
33.833	376	
33.917	376	
34	375.9	
34.083	376	
34.167	375.9	
34.25	375.9	
34.333	375.9	
34.417	375.9	
34.5	375.9	
34.583	375.9	
34.667	375.9	
34.75	376	
34.833	376	
34.917	376	
35	376.1	
35.083	376.1	
35.167	376.1	
35.25	376.1	
35.333	376.1	
35.417	376.2	
35.5	376.2	
35.583	376.2	
35.667	376.2	
35.75	376.2	
35.833	376.2	
35.917	376.3	
36	376.3	
36.083	376.4	
36.167	376.4	
36.25	376.6	
36.333	376.6	
36.417	376.7	
36.5	376.8	
36.583	376.9	
36.667	377	
36.75	377.1	
36.833	377.2	
36.917	377.3	
37	377.3	
37.083	377.4	
37.167	377.5	
37.25	377.6	
37.333	377.7	
37.417	377.8	
37.5	378	
37.583	378	
37.667	378.2	
37.75	378.4	
37.833	378.5	
37.917	378.7	
38	378.8	
38.083	379	
38.167	379.1	
38.25	379.3	
38.333	379.5	
38.417	379.7	
38.5	379.8	
38.583	380.1	
38.667	380.3	
38.75	380.5	
38.833	380.7	
38.917	380.9	
39	381	
39.083	381.1	
39.167	381.3	
39.25	381.5	
39.333	381.8	
39.417	382	
39.5	382.1	
39.583	382.3	
39.667	382.5	
39.75	382.7	
39.833	382.8	
39.917	383.1	
40	383.3	
40.083	383.4	
40.167	383.6	
40.25	383.9	
40.333	384.1	
40.417	384.3	
40.5	384.4	
40.583	384.6	
40.667	384.8	
40.75	385	
40.833	385.2	
40.917	385.4	
41	385.6	
41.083	385.7	
41.167	385.9	
41.25	386.1	
41.333	386.3	
41.417	386.5	
41.5	386.7	
41.583	387	
41.667	387.2	
41.75	387.4	
41.833	387.5	
41.917	387.7	
42	387.9	
42.083	388	
42.167	388.2	
42.25	388.4	
42.333	388.6	
42.417	388.7	
42.5	388.9	
42.583	389.1	
42.667	389.3	
42.75	389.4	
42.833	389.5	
42.917	389.7	
43	389.9	
43.083	390.1	
43.167	390.3	
43.25	390.5	
43.333	390.6	
43.417	390.8	
43.5	390.9	
43.583	391	
43.667	391.2	
43.75	391.3	
43.833	391.4	
43.917	391.6	
44	391.7	
44.083	391.9	
44.167	391.9	
44.25	392	
44.333	392.1	
44.417	392.2	
44.5	392.3	
44.583	392.4	
44.667	392.5	
44.75	392.6	
44.833	392.7	
44.917	392.8	
45	392.9	
45.083	392.9	
